,NAKO GRE v1.1,NAKO GRE v1.2,NAKO T2 v1.1,NAKO T2 v1.2,AMOS MRI v1.1,AMOS MRI v1.2,AMOS CT v1.1,AMOS CT v1.2,TotSeg MRI v1.1,TotSeg MRI v1.2
spleen,0.91429603715,0.9311231568999999,0.9083243156,0.9183737721999999,0.9508529866101695,0.9353362889830508,0.9466864405369129,0.9482967469127517,0.8770663616666668,0.8863678825
right_kidney,0.9497629707499999,0.9728858482499999,0.9513042646,0.9658413382000001,0.9482995666666666,0.9455018901666666,0.93913847452349,0.9443417890872483,0.8841360409090909,0.8860685863636365
left_kidney,0.9256217105119999,0.9508245881555,0.9473617426530613,0.9592389618367347,0.9516604171666666,0.9411030703333334,0.9383192370956522,0.9402255134591974,0.7673970066666668,0.7745075004166666
gallbladder,0.7391658829954544,0.7370716653079544,0.7532670714347828,0.8313157276086954,0.7391240925454544,0.7302789375090909,0.7968002723297872,0.7970960460829786,0.8287988485714285,0.84235081
liver,0.9608643506499999,0.9675405872999999,0.9498373032,0.9598408714,0.9616910883333333,0.9570960055,0.9609986555000001,0.9618156767999998,0.817005097,0.8162421087142857
stomach,0.9124406315499999,0.9264938632999999,0.8350554275999998,0.875291217,0.8689376251666666,0.8711771161666667,0.8853397195688889,0.8875421897529966,0.8586981266666666,0.8488279100000001
pancreas,0.8175867706,0.84856254165,0.7996891082000002,0.8431283510000002,0.8075366578333333,0.7943842615000001,0.7891975710666667,0.7940092199966667,0.4454959554545455,0.4437383180000001
right_adrenal_gland,0.6892903826999999,0.7395055015750001,0.716238404375,0.7456356255416666,0.5597558319999999,0.5362981231666666,0.6966944248729097,0.6946154303846154,0.5599818222727273,0.5938776014545455
left_adrenal_gland,0.6938566924999999,0.7438457413599999,0.6910826131111111,0.687366962,0.5623522118333334,0.5283142082666666,0.6928941950666666,0.6944640387566666,0.6639304784615383,0.6499284784615385
left_lung,0.9622987893,0.96907919815,0.9614074052000001,0.9647870802,,,,,0.9187178692307693,0.9230891092307693
right_lung,0.9627406917000001,0.96944594555,0.9596209431999999,0.9669011836,,,,,0.8146610019999999,0.8182132486666667
heart,0.9390724219500001,0.9505268347000001,0.9211294962000001,0.9267695230000002,,,,,0.8080810665384616,0.812892848076923
aorta,0.92844338385,0.9477851683,0.9409971382000001,0.9455915018000001,0.8987630643333334,0.892647775,0.9320878772,0.9316382271333333,0.705818532,0.688406887
inferior_vena_cava,0.85992418895,0.8850226090500002,0.8861195646000002,0.9125930774,0.8257940591666667,0.8316670081666667,0.8380821430666667,0.8377256048000001,0.6639528863636363,0.6541588027272727
portal_vein_and_splenic_vein,0.6365622512500001,0.7658770441499999,0.775892264,0.8138254974,,,,,0.6526668991666666,0.6209473516666667
left_iliac_artery,0.8068392399,0.84027464455,,,,,,,0.713861666875,0.6576334537499999
right_iliac_artery,0.77395260385,0.80296129285,,,,,,,0.6550256637499999,0.6294503250000001
left_iliac_vena,0.88493501065,0.9047124247000002,,,,,,,0.739725175,0.76462986
right_iliac_vena,0.86273935925,0.8891373445499999,,,,,,,0.7422427775000001,0.7371969475
esophagus,0.8142168545,0.85775407525,0.7923630884,0.8351785518,0.6558194822166666,0.6655634708333334,0.8040176332441472,0.8050742772909699,0.6146566293571428,0.6239470406428571
small_bowel,0.7645517160499999,0.8105078834,0.570526137,0.8107277336,,,,,0.7834415228571429,0.6907401628571429
duodenum,0.77399630055,0.8055684721499999,0.4325589163200001,0.6621985405999999,0.5803268715000002,0.5863346955,0.6716080360327759,0.67783195980903,0.6965815483333334,0.6671073916666667
colon,0.84965809695,0.88304811215,0.8245479475999998,0.8581637515999999,,,,,0.823874604117647,0.8242625888235293
urinary_bladder,0.9498841987,0.9570572426999999,,,,,,,0.89238154,0.8999063949999999
spine,0.904102851,0.9171374359000001,0.9332494824000002,0.9369902837999998,,,,,0.6854094340000001,0.6836205735
sacrum,0.9327910973500001,0.94358132935,,,,,,,0.77687756,0.78983774
left_hip,0.9317958751500001,0.9442444225000002,,,,,,,0.6545060755555556,0.6901818588888888
right_hip,0.92918482645,0.94320441805,,,,,,,0.5793116767777777,0.5745403703333334
left_femur,0.9307417244,0.9436471299,,,,,,,0.8017636233333333,0.8120019816666667
right_femur,0.9233876259999999,0.93335233465,,,,,,,0.8544722440000001,0.8600100339999999
left_autochthonous_muscle,0.9401843005,0.9618580122,0.9492140491999999,0.9616469148,,,,,0.6978938490000001,0.759174530105263
right_autochthonous_muscle,0.9457022521999999,0.9601102384999999,0.951579978,0.9615230699999999,,,,,0.66881133725,0.6945029953
left_iliopsoas_muscle,0.93154379355,0.9577763874499999,0.9522164478,0.9664622917999999,,,,,0.53189614,0.5258454876470589
right_iliopsoas_muscle,0.9388437163500001,0.9575040163999999,0.9632815534000001,0.9709283826,,,,,0.5416703771875,0.5475239480000001
left_gluteus_maximus,0.9304292304,0.9439818155,,,,,,,0.8277998750000001,0.8185694183333334
right_gluteus_maximus,0.95021467535,0.96012046715,,,,,,,0.7280573016666666,0.6967959499999999
left_gluteus_medius,0.94267330535,0.9522110511999999,,,,,,,0.8481609266666666,0.8772173799999999
right_gluteus_medius,0.9421886960500001,0.9537617594499999,,,,,,,0.7506970000000001,0.748591715
left_gluteus_minimus,0.9097801294387754,0.9343754398469387,,,,,,,0.8478598400000001,0.842539045
right_gluteus_minimus,0.9108286131500001,0.93771477905,,,,,,,0.8268166849999999,0.8275348424999999
